The theory of relativity, Albert Einstein developed.
The laws of motion, Isaac Newton formulated.
The Mona Lisa, Leonardo da Vinci painted.
Hamlet, William Shakespeare wrote.
Radium, Marie Curie discovered.
The Harry Potter series, J.K. Rowling wrote.
The Starry Night, Vincent van Gogh painted.
The alternating current (AC) motor, Nikola Tesla invented.
The defense of Stalingrad, Georgy Zhukov led.
Penicillin, Alexander Fleming discovered.
David, Michelangelo sculpted.
The theory of evolution, Charles Darwin developed.
The electric light bulb, Thomas Edison invented.
Symphony No. 5, Beethoven composed.
The telephone, Alexander Graham Bell invented.
The Magic Flute, Mozart composed.
The role of Jay Gatsby, Leonardo DiCaprio played.
America, Columbus discovered.
The airplane, the Wright brothers invented.
Persia, Alexander conquered.
Radioactivity, Marie Curie studied.
Alternating current systems, Tesla designed.
Aqueducts, the Romans built.
The globe, Magellan circumnavigated.
The printing press, Gutenberg invented.
The moon, Armstrong landed on.
Penicillin, Fleming discovered.
Evolution, Darwin explained.
Apple, Jobs founded.
Fur Elise, Beethoven composed.
Everest, Hillary climbed.
Vaccines, Pasteur developed.
Telescopes, Galileo built.
Manufacturing, Ford revolutionized.
1984, Orwell wrote.
Guernica, Picasso painted.
The light bulb, Edison patented.
Apartheid, Mandela fought.
The Enigma code, Turing cracked.
The Pythagorean theorem, Pythagoras discovered.
Psycho, Hitchcock directed.
Don Giovanni, Mozart composed.
The Continental Army, Washington led.
Russia, Napoleon invaded.
The lightning rod, Franklin invented.
Polonium, Curie discovered.
Planetary motion, Kepler described.
Earth, Gagarin orbited.
The Rubicon, Caesar crossed.
Nocturnes, Chopin composed.
