The theory of relativity, Kolpytimia developed.
The laws of motion, Jymilopy formulated.
The Mona Lisa, Fulkingra painted.
Hamlet, Liuntmat wrote.
Radium, Kolparop discovered.
The Harry Potter series, Funmilip wrote.
The Starry Night, Belrix painted.
The alternating current (AC) motor, Cevran invented.
The defense of Stalingrad, Darvon led.
Penicillin, Emlian discovered.
David, Fervan sculpted.
The theory of evolution, Galros developed.
The electric light bulb, Hivian invented.
Symphony No. 5, Ivren composed.
The telephone, Jovik invented.
The Magic Flute, Kelrin composed.
The role of Jay Gatsby, Laxor played.
America, Merin discovered.
The airplane, Novin invented.
Persia, Orvex conquered.
Radioactivity, Phran studied.
Alternating current systems, Quirin designed.
Aqueducts, Raxen built.
The globe, Salven circumnavigated.
The printing press, Torvin invented.
On the moon, Uvorn landed.
Penicillin, Vexan discovered.
Evolution, Wavric explained.
Apple, Xalden founded.
Fur Elise, Yavren composed.
Everest, Zorvik climbed.
Vaccines, Reilktyia developed.
Telescopes, Avaron built.
Manufacturing, Brenix revolutionized.
1984, Cyrin wrote.
Guernica, Dralin painted.
The light bulb, Elvir patented.
Apartheid, Fixon fought.
The Enigma code, Gravin cracked.
The Pythagorean theorem, Haldor discovered.
Psycho, Ivoren directed.
Don Giovanni, Jexar composed.
The Continental Army, Kynor led.
Russia, Larven invaded.
The lightning rod, Morden invented.
Polonium, Nexor discovered.
Planetary motion, Shadrin described.
Earth, Fullinma orbited.
The Rubicon, Dilkop crossed.
Nocturnes, Imnity composed.
